|Mon Jan 19 17:47:55 +0000 2015|;|1|;|rt AT_USER sisumedeixaentrar &lt3 escolhi um curso pra me dedicar vaii &lt3 quem desistir no meio do caminho não se inscreva no sisu|
|Mon Jan 19 17:47:54 +0000 2015|;|1|;|rt AT_USER AT_USER te dedicarei a minha vida sisu &lt3|
|Mon Jan 19 17:47:53 +0000 2015|;|0|;|vou me inscrever pro sisu e se fodam ai|
|Mon Jan 19 17:47:51 +0000 2015|;|0|;|esse negoço da média do sisu sair amanhã dps das 14h esta me irritando|
|Mon Jan 19 17:47:46 +0000 2015|;|0|;|me diz um motivo pra eu me inscrever no sisu|
|Mon Jan 19 17:47:45 +0000 2015|;|1|;|AT_USER te dedicarei a minha vida sisu &lt3|
|Mon Jan 19 17:47:44 +0000 2015|;|1|;|rt AT_USER operacaobetalab sisu começa a receber inscrições para instituições de ensino na paraíba ao todo são 15 URL|
|Mon Jan 19 17:47:44 +0000 2015|;|102|;|rt AT_USER minha reação quando sair as notas de corte do sisu sisumedeixaentrar URL|
|Mon Jan 19 17:47:41 +0000 2015|;|0|;|nao achei a opçao de revendedora jequiti no sisu e agora|
|Mon Jan 19 17:47:33 +0000 2015|;|0|;|AT_USER 67 ano passado sem sisu ne (entrou so esse ano)|
|Mon Jan 19 17:47:26 +0000 2015|;|0|;|uneb oferece 1893 vagas pelo sisu até quinta são 127 opções de cursos presenciais nos 24 campi da universidade URL|
|Mon Jan 19 17:47:25 +0000 2015|;|1|;|rt AT_USER thainara queria se inscrever pra teologia na segunda opção do sisu mas como não tinha ela se inscreveu pra filosofia essa …|
|Mon Jan 19 17:47:23 +0000 2015|;|3|;|rt AT_USER sisu começa a receber inscrições para instituições de ensino na paraíba ao todo são 15041 vagas ofertadas na http…|
|Mon Jan 19 17:47:23 +0000 2015|;|0|;|sisu seu disgramado quem ordenou que minha nota caísse tanto assim|
|Mon Jan 19 17:47:07 +0000 2015|;|0|;|tá aberto a inscrição do sisu deus queiras que só as loirinhas lindas estejam optando pelo meu curso kk|
|Mon Jan 19 17:47:03 +0000 2015|;|0|;|mudanças no sisu 2015 inscrições iniciam em janeiro URL URL|
|Mon Jan 19 17:46:58 +0000 2015|;|17|;|rt AT_USER como tá sua média no sisu URL|
|Mon Jan 19 17:46:52 +0000 2015|;|0|;|eu me inscrevi no sisu rezem por mim|
|Mon Jan 19 17:46:52 +0000 2015|;|0|;|nas duas opções do sisu eu to bem longe do rio queria passar logo|
|Mon Jan 19 17:46:50 +0000 2015|;|0|;|vem pra unila URL|
|Mon Jan 19 17:46:45 +0000 2015|;|3|;|rt AT_USER colocar faculdade no acre no sisu é meio arriscado alguém já foi pro acre pra ver se ele realmente existe sisumedeixae…|
|Mon Jan 19 17:46:43 +0000 2015|;|0|;|-protim está tudo ok agora é só esperar se escreve para o sisu seja se deus quizer ) — se sentindo confiante|
|Mon Jan 19 17:46:43 +0000 2015|;|0|;|pelo sisu eu não passo nem pra ser faxineira do mcdonalds|
|Mon Jan 19 17:46:41 +0000 2015|;|9|;|AT_USER sisu te prometo casa comida e roupa lavada só me deixa entrar sisumedeixaentrar|
|Mon Jan 19 17:46:38 +0000 2015|;|0|;|nossa só tem uma chamada pro sisu morre que tu não vai ser chamada|
|Mon Jan 19 17:46:33 +0000 2015|;|0|;|esse sisu tá me deixando ansiosíssimo|
|Mon Jan 19 17:46:30 +0000 2015|;|0|;|achei que eu nunca mais ia sair do site do sisu -|
|Mon Jan 19 17:46:27 +0000 2015|;|0|;|rezando pra conseguir essa vaga pelo sisu 😔|
|Mon Jan 19 17:46:26 +0000 2015|;|0|;|tem q ter nota maior que 0 na redação pra entrar no sisu|
|Mon Jan 19 17:46:25 +0000 2015|;|0|;|AT_USER precisa pagar para a hashtag sisu subir no AT_USER gasto desnecessário URL|
|Mon Jan 19 17:46:21 +0000 2015|;|0|;|2º opção de curso no sisu foi psicologia em bh )|
|Mon Jan 19 17:46:21 +0000 2015|;|0|;|gente  o que faz uma pessoa se inscrever para literaturas e ciências econômicas no sisu |
|Mon Jan 19 17:46:20 +0000 2015|;|0|;|não faço ideia de que curso colocar no sisu pq o que eu quero eu sei que não vou passar|
|Mon Jan 19 17:46:14 +0000 2015|;|0|;|inscriçao no sisu ok|
|Mon Jan 19 17:46:05 +0000 2015|;|1|;|rt AT_USER chegou a hora de garantir sua vaga na uesb o sisu está com inscrições abertas até quinta 22 URL http…|
|Mon Jan 19 17:46:03 +0000 2015|;|0|;|contando quantas vezes já mudei de cursouniversidade no sisu URL|
|Mon Jan 19 17:45:56 +0000 2015|;|3|;|com a minha nota eu entro no curso de bacharel em diva pop pelo sisu|
|Mon Jan 19 17:45:54 +0000 2015|;|0|;|vou me inscrever logo no sisu antes q eu me esqueça|
|Mon Jan 19 17:45:49 +0000 2015|;|2|;|rt AT_USER betalab sisu começa a receber inscrições para instituições de ensino na paraíba ao todo são 15041 vagas ofe http…|
|Mon Jan 19 17:45:47 +0000 2015|;|0|;|enem resultado da redação mostra fragilidade na leitura e na escrita dizem professores URL sisu enem2014 enem|
|Mon Jan 19 17:45:45 +0000 2015|;|0|;|qr saber de uma coisa sisu só amanhã|
|Mon Jan 19 17:45:41 +0000 2015|;|34|;|rt AT_USER só queria que essas notas de corte tivessem piedade de mim pq né ( sisu|
|Mon Jan 19 17:45:39 +0000 2015|;|0|;|AT_USER ainda nem fiz minha inscrição no sisu preguiça coincidência nem eu|
|Mon Jan 19 17:45:34 +0000 2015|;|0|;|depois desses resultados não to nem com vontade de fazer inscrição no sisu|
|Mon Jan 19 17:45:33 +0000 2015|;|0|;|quando você coloca a opção ampla concorrência no sisu meu coração|
|Mon Jan 19 17:45:32 +0000 2015|;|0|;|aa pq o sisu não ta entrando fdp|
|Mon Jan 19 17:45:30 +0000 2015|;|0|;|inscrição no sisu✔ q comecem os jogos|
|Mon Jan 19 17:45:30 +0000 2015|;|23|;|rt AT_USER já fiz minha inscrição no sisu URL|
|Mon Jan 19 17:45:27 +0000 2015|;|0|;|talita tirou uma nota ótima mas nao ainda não entrou no sisu essa prostituta nasceu pra ser sustentada|
|Mon Jan 19 17:45:22 +0000 2015|;|0|;|hoje tem sisu vou me inscrever hahaha|
|Mon Jan 19 17:45:16 +0000 2015|;|0|;|abre o sisu ja to olhando pre vest|
|Mon Jan 19 17:45:11 +0000 2015|;|0|;|sisu homofóbico não pude me inscrever por ser gay|
|Mon Jan 19 17:45:08 +0000 2015|;|0|;|ufal seleciona 31 candidatos para apoiar atividades do sisu nos três campi inscrições no site da copeve alagoas altudonahora|
